years_ago,value,error
7983,259.3,0.9
7881,259.6,0.5
7782,260.8,1.4
7685,259.2,0.7
7589,259.7,0.9
7492,260.4,0.4
7396,260.1,0.6
7395,254.6,3
7279,258.4,0.8
7200,260.7,0.6
7099,263.0,0.7
6998,262.3,0.9
6860,257.6,0.9
6781,258.1,1.4
6699,262.9,0.5
6582,262.1,0.9
6498,259.4,0.6
6417,261.1,0.4
6288,262.2,3
6273,261.2,0.7
6170,262.7,0.9
6132,263.2,0.6
5989,265.5,0.8
5848,266.7,0.9
5789,260.7,1.6
5689,265.5,0.8
5589,265.9,0.9
5487,267.6,2.0
5386,265.2,0.8
5264,265.3,1.7
5182,267.6,0.6
5101,269.8,1.2
4963,268.6,1.1
4865,269.3,1.0
4805,270.7,0.5
4664,271.5,0.8
4564,269.8,1.0
4463,269.1,0.6
4403,271.1,0.8
4244,271.5,0.9
4185,272.8,0.8
4087,271.6,0.7
3989,271.7,1.0
3901,268.1,3
3870,274.9,1.3
3792,275.4,0.5
3702,272.8,3
3696,271.5,1.0
3599,273.0,0.8
3522,273.4,1.3
3405,275.0,0.6
3287,274.0,0.3
3206,273.1,1.1
3146,276.3,1.5
2986,274.6,0.8
2888,276.3,0.9
2811,274.7,1.2
2693,275.3,1.6
2618,278.9,0.6
2521,273.9,1.1
2420,277.9,0.5
2410,284.7,3
2296,277.6,1.3
2218,276.7,0.8
2137,276.7,0.8
2017,276.7,1.1
2016,276.8,1.1
2015,276.8,1.1
2014,276.9,1.1
2013,276.9,1.1
2012,277.0,1.1
2011,277.1,1.1
2010,277.1,1.1
2009,277.2,1.1
2008,277.2,1.1
2007,277.3,1.1
2006,277.3,1.1
2005,277.4,1.1
2004,277.4,1.1
2003,277.5,1.1
2002,277.5,1.1
2001,277.6,1.1
2000,277.6,1.1
1999,277.6,1.1
1998,277.7,1.1
1997,277.7,1.1
1996,277.7,1.1
1995,277.8,1.1
1994,277.8,1.1
1993,277.8,1.1
1992,277.9,1.1
1991,277.9,1.1
1990,277.9,1.1
1989,277.9,1.1
1988,277.9,1.1
1987,277.9,1.1
1986,277.9,1.1
1985,277.9,1.1
1984,277.9,1.1
1983,277.9,1.1
1982,277.9,1.1
1981,277.9,1.1
1980,277.8,1.1
1979,277.8,1.1
1978,277.8,1.1
1977,277.8,1.1
1976,277.8,1.1
1975,277.7,1.1
1974,277.7,1.1
1973,277.7,1.1
1972,277.7,1.1
1971,277.6,1.1
1970,277.6,1.1
1969,277.6,1.1
1968,277.5,1.1
1967,277.5,1.1
1966,277.5,1.1
1965,277.5,1.1
1964,277.4,1.1
1963,277.4,1.1
1962,277.4,1.1
1961,277.4,1.1
1960,277.4,1.1
1959,277.3,1.1
1958,277.3,1.1
1957,277.3,1.1
1956,277.3,1.1
1955,277.3,1.1
1954,277.3,1.1
1953,277.3,1.1
1952,277.3,1.1
1951,277.3,1.1
1950,277.3,1.1
1949,277.3,1.1
1948,277.3,1.1
1947,277.3,1.1
1946,277.2,1.1
1945,277.3,1.1
1944,277.3,1.1
1943,277.3,1.1
1942,277.3,1.1
1941,277.3,1.1
1940,277.3,1.1
1939,277.3,1.1
1938,277.3,1.1
1937,277.3,1.1
1936,277.3,1.1
1935,277.3,1.1
1934,277.3,1.1
1933,277.3,1.1
1932,277.3,1.1
1931,277.3,1.1
1930,277.3,1.1
1929,277.3,1.1
1928,277.4,1.1
1927,277.4,1.1
1926,277.4,1.1
1925,277.4,1.1
