years_ago,value
-7983.0,259.35032177026517
-7981.00425,259.3492312597288
-7979.0085,259.3484299047043
-7977.01275,259.3479187400785
-7975.017,259.3476988007383
-7973.02125,259.34777112157064
-7971.0255,259.3481367374625
-7969.02975,259.34879668330063
-7967.034,259.3497519939721
-7965.03825,259.35100370436373
-7963.0425,259.35255284936244
-7961.04675,259.3544004638552
-7959.051,259.35654758272887
-7957.05525,259.35899524087034
-7955.0595,259.36174447316654
-7953.06375,259.3647963145044
-7951.068,259.3681517997709
-7949.07225,259.3718119638528
-7947.0765,259.3757778416371
-7945.08075,259.3800504680107
-7943.085,259.3846308778605
-7941.08925,259.38952010607346
-7939.0935,259.3947191875364
-7937.09775,259.4002291571363
-7935.102,259.40605104976004
-7933.10625,259.41218590029456
-7931.1105,259.41863474362674
-7929.11475,259.42539861464354
-7927.119,259.4324785482318
-7925.12325,259.4398755792785
-7923.1275,259.4475907426705
-7921.13175,259.45562507329475
-7919.136,259.4639796060381
-7917.14025,259.47265537578755
-7915.1445,259.4816534174299
-7913.14875,259.49097476585223
-7911.153,259.50062045594126
-7909.15725,259.51059152258404
-7907.1615,259.5208890006674
-7905.16575,259.5315139250783
-7903.17,259.5424673307036
-7901.17425,259.55375025243023
-7899.1785,259.5653637251452
-7897.18275,259.57730878373525
-7895.187,259.5895864630874
-7893.19125,259.6021977980885
-7891.1955,259.6151438236256
-7889.19975,259.62842557458544
-7887.204,259.642044085855
-7885.20825,259.65600039232123
-7883.2125,259.67029552883395
-7881.21675,259.685308289095
-7879.221,259.7015126816793
-7877.22525,259.7188266263089
-7875.2295,259.7371691726084
-7873.23375,259.7564605001054
-7871.238,259.77662191822924
-7869.24225,259.7975758663127
-7867.2465,259.8192459135903
-7865.25075,259.8415567591994
-7863.255,259.8644342321801
-7861.25925,259.8878052914746
-7859.2635,259.9115980259278
-7857.26775,259.93574165428714
-7855.272,259.9601665252027
-7853.27625,259.9848041172268
-7851.2805,260.0095870388146
-7849.28475,260.0344490283235
-7847.289,260.0593249540135
-7845.29325,260.0841508140473
-7843.2975,260.10886373648987
-7841.30175,260.133401979309
-7839.306,260.1577049303745
-7837.31025,260.1817131074593
-7835.3145,260.2053681582384
-7833.31875,260.2286128602897
-7831.323,260.2513911210932
-7829.32725,260.2736479780317
-7827.3315,260.29532959839037
-7825.33575,260.31638327935724
-7823.34,260.3367574480223
-7821.34425,260.35640166137864
-7819.3485,260.37526660632136
-7817.35275,260.39330409964856
-7815.357,260.41046708806044
-7813.36125,260.42670964815994
-7811.3655,260.44198698645255
-7809.36975,260.4562554393462
-7807.374,260.46947247315126
-7805.37825,260.48159668408084
-7803.3825,260.49258779825044
-7801.38675,260.5024066716781
-7799.391,260.51101529028426
-7797.39525,260.5183767698921
-7795.3995,260.5244553562272
-7793.40375,260.5292164249178
-7791.408,260.5326264814942
-7789.41225,260.53465316139
-7787.4165,260.53526522994053
-7785.42075,260.53443258238417
-7783.425,260.53170839560596
-7781.42925,260.52691325862435
-7779.4335,260.52008204929086
-7777.43775,260.5115043071583
-7775.442,260.5012701894125
-7773.44625,260.4894421385539
-7771.4505,260.4760829989599
-7769.45475,260.4612560168839
-7767.459,260.4450248404558
-7765.46325,260.42745351968216
-7763.4675,260.4086065064458
-7761.47175,260.3885486545058
-7759.476,260.367345219498
-7757.48025,260.3450618589347
-7755.4845,260.32176463220424
-7753.48875,260.29752000057164
-7751.493,260.2723948271786
-7749.49725,260.2464563770428
-7747.5015,260.21977231705864
-7745.50575,260.1924107159969
-7743.51,260.1644400445046
-7741.51425,260.1359291751055
-7739.5185,260.10694738219973
-7737.52275,260.0775643420637
-7735.527,260.0478501328504
-7733.53125,260.01787523458916
-7731.5355,259.9877105291858
-7729.53975,259.9574273004226
-7727.544,259.9270972339581
-7725.54825,259.89679241732756
-7723.5525,259.8665853399425
-7721.55675,259.8365488930909
-7719.561,259.80675636993715
-7717.56525,259.77728146552204
-7715.5695,259.74819827676305
-7713.57375,259.71958130245383
-7711.578,259.6915054432644
-7709.58225,259.6640460017415
-7707.5865,259.63727868230814
-7705.59075,259.6112795912638
-7703.595,259.5861252367843
-7701.59925,259.56189252892204
-7699.6035,259.5386587796057
-7697.60775,259.5165017026408
-7695.612,259.49549941370867
-7693.61625,259.4757304303675
-7691.6205,259.45727367205166
-7689.62475,259.4402084600724
-7687.629,259.4245816435516
-7685.63325,259.4104529439043
-7683.6375,259.39790859910033
-7681.64175,259.3870351322423
-7679.646,259.37766453729347
-7677.65025,259.3692232076728
-7675.6545,259.3617123718147
-7673.65875,259.35513187970804
-7671.6630000000005,259.3494802028957
-7669.66725,259.3447544344748
-7667.6715,259.3409502890966
-7665.67575,259.33806210296655
-7663.68,259.33608283384433
-7661.68425,259.33500406104383
-7659.6885,259.334815985433
-7657.69275,259.3355074294339
-7655.697,259.3370658370231
-7653.70125,259.33947727373095
-7651.7055,259.3427264266423
-7649.70975,259.3467966043959
-7647.714,259.35166973718486
-7645.71825,259.35732637675653
-7643.7225,259.36374569641225
-7641.72675,259.3709054910076
-7639.731,259.37878217695254
-7637.73525,259.38735079221084
-7635.7395,259.3965849963006
-7633.74375,259.40645707029427
-7631.748,259.4169379168184
-7629.75225,259.4279970600535
-7627.7565,259.4396026457345
-7625.76075,259.45172144115037
-7623.765,259.4643188351444
-7621.76925,259.47735883811396
-7619.7735,259.49080408201064
-7617.77775,259.50461582034006
-7615.782,259.5187539281623
-7613.78625,259.5331769020913
-7611.7905,259.5478418602955
-7609.79475,259.5627045424972
-7607.799,259.5777193099732
-7605.80325,259.5928391455542
-7603.8075,259.6080156536252
-7601.81175,259.6231990601254
-7599.816,259.63833821254804
-7597.82025,259.65338057994086
-7595.8245,259.66827225290535
-7593.82875,259.68295794359756
-7591.833,259.6973809857274
-7589.8372500000005,259.711768326345
-7587.8415,259.7260381104301
-7585.84575,259.7401003645869
-7583.85,259.7538643381706
-7581.85425,259.7676998504858
-7579.8585,259.78177337733166
-7577.86275,259.79605767535855
-7575.867,259.8105259856711
-7573.87125,259.82515203382764
-7571.8755,259.83991002984
-7569.87975,259.854774668174
-7567.884,259.86972112774936
-7565.88825,259.8847250719393
-7563.8925,259.8997626485711
-7561.89675,259.9148104899256
-7559.901,259.92984571273774
-7557.90525,259.9448459181958
-7555.9095,259.95978919194226
-7553.91375,259.974654104073
-7551.918,259.98941970913813
-7549.92225,260.0040655461412
-7547.9265,260.0185716385395
-7545.93075,260.0329184942446
-7543.935,260.0470871056212
-7541.93925,260.06105894948826
-7539.9435,260.0748159871183
-7537.94775,260.08834066423776
