# GISP2 Sodium (Na+)
# meters,thousand years before present,PPB
Depth,Age,Sodium
19.88,0.00185,5.518
20.63,0.0037,5.977
21.34,0.00545,4.138
21.835,0.00665,4.598
22.305,0.0077,2.989
23,0.0093,5.058
23.74,0.01115,3.219
24.185,0.0123,6.207
24.53,0.01345,5.058
25.11,0.01515,4.828
25.785,0.0168,5.747
26.455,0.01855,4.598
27.125,0.0203,4.828
27.94,0.02255,7.127
28.765,0.0251,19.541
29.435,0.02725,8.276
29.925,0.02875,14.943
30.25,0.02955,5.977
30.895,0.03155,7.357
31.73,0.03415,4.598
32.385,0.03585,7.817
32.99,0.0374,6.897
33.61,0.03915,6.207
34.26,0.041,6.437
35.44,0.04475,4.828
35.94,0.0465,6.437
36.295,0.04785,2.759
36.795,0.04965,5.518
37.415,0.0515,4.368
38.05,0.05345,6.437
38.665,0.0554,4.828
39.275,0.05725,5.977
39.835,0.05885,7.587
40.34,0.06035,4.598
40.8,0.0616,5.058
41.31,0.06295,7.357
41.91,0.0647,10.345
42.51,0.06655,5.747
42.96,0.0681,7.817
44.35,0.0722,4.138
44.885,0.07385,6.897
45.36,0.07545,4.138
45.65,0.07635,6.897
46.055,0.0775,8.506
46.64,0.07925,4.138
47.19,0.08115,2.529
47.77,0.08325,5.058
48.38,0.0854,5.288
48.975,0.0874,7.587
49.55,0.08925,5.058
50.105,0.09095,5.977
50.675,0.09295,8.506
51.245,0.0948,6.667
51.81,0.0963,2.529
52.355,0.098,6.437
52.925,0.0999,4.598
53.51,0.1018,6.207
54.07,0.1037,3.448
54.63,0.10585,9.426
55.19,0.10805,5.747
55.775,0.11015,6.437
56.33,0.11205,5.288
56.86,0.1139,6.897
57.39,0.11585,3.908
57.94,0.11765,9.426
58.515,0.11925,3.908
59.06,0.12065,3.219
59.605,0.12205,4.138
60.15,0.12375,5.288
60.765,0.126,7.127
61.355,0.1282,5.977
61.845,0.1299,6.207
62.345,0.1317,5.058
62.87,0.1339,5.518
63.405,0.1362,4.138
63.94,0.13825,6.897
64.48,0.14005,6.207
65.015,0.14165,4.368
65.545,0.1434,4.598
66.075,0.1454,2.989
66.61,0.14715,4.138
67.145,0.14905,6.897
67.76,0.15145,5.747
68.285,0.15325,6.897
68.725,0.1546,8.276
69.25,0.15645,5.747
69.8,0.1586,5.058
70.325,0.16065,9.656
70.825,0.1627,4.368
71.345,0.16455,4.368
71.86,0.166,7.357
72.355,0.16775,6.667
72.895,0.17,3.678
73.41,0.17205,5.058
73.925,0.17415,5.288
74.44,0.17605,2.989
74.955,0.17785,3.908
75.47,0.1799,3.219
75.985,0.1819,6.207
76.495,0.1841,4.138
76.875,0.18585,5.747
77.255,0.1872,4.598
77.8,0.18935,6.437
78.31,0.1912,3.908
78.78,0.19275,7.127
79.285,0.19465,6.207
79.815,0.19665,4.828
80.32,0.19855,5.977
80.82,0.20015,5.518
81.32,0.20165,6.897
81.8,0.2035,3.219
82.3,0.20565,9.196
82.825,0.2078,6.667
83.325,0.20995,16.093
83.82,0.21205,7.357
84.315,0.2139,2.989
84.79,0.21555,9.426
