GISP2 CO2 concentrations

REFERENCES: 

Smith, H.J., M. Wahlen, and D. Mastroianni. 1997. The CO2 concentration of
air trapped in GISP2 ice from the Last Glacial Maximum-Holocene transition.
Geophysical Research Letters 24:1-4.

Smith, H.J., M. Wahlen, D. Mastroianni, K.C. Taylor, and P.A. Mayewski.
1997. The CO2 concentration of air trapped in Greenland Ice Sheet Project 2
ice formed during periods of rapid climate change. Journal of Geophysical
Research 102:26577-26582.

Wahlen, M., D. Allen, B. Deck, and A. Herchenroder. 1991. Initial
measurements of CO2 concentrations (1530-1940 AD) in air occluded in the
GISP2 ice core from central Greenland. Geophysical Research Letters 18:1457
1460.

DATA DESCRIPTION: 

These data are the average CO2 concentrations of air extracted from GISP2
ice from depths spanning two separate stadials (cold periods) centered at
approximately 46 kyBP and 63 kyBP.  Each measurement was made on 6-8 cm^3
of carefully trimmed ice using a dry extraction method.  Three samples
(typically) were analyzed for each point, the depths of which differed by
no more than 2 cm.  Analytical details can be found in Wahlen et al.
(1991) and Smith et al. (JGR special GRIP/GISP2 issue).

Four columns of data are listed; the first is the uppermost depth (in
meters) of the samples used for each point, the second is the average CO2
concentration (in ppm) of the trapped gas, the third is the standard
deviation (in ppm) of the average CO2 concentration and the fourth is the
number of samples analyzed for each point. 

DATA:

depth	CO2	+/-	# of samples
top (m)	(ppmv)	(ppmv)	

1583.000	269.1	17.2	2
1586.060	268.0	22.0	3
1586.090	270.2	  7.1	3
1592.020	271.0	  4.3	3
1595.050	258.5	16.6	3
1598.020	267.7	28.8	3
1601.125	293.1	  7.2	3
1604.020	236.4	27.6	3
1610.060	285.0	23.9	3
1610.090	277.9	36.3	3
1613.020	297.0	17.4	3
1616.020	301.4	18.8	3
1622.020	300.5	  6.2	2
1625.020	301.3	17.4	3
1628.020	299.7	11.6	3
1631.130	306.8	27.5	3
1634.020	320.9	42.3	3
1637.030	324.8	49.3	3
1640.030	322.4	  5.4	3
1646.050	302.0	  9.6	3
1649.020	283.9	23.1	3
1650.020	301.3	16.6	3
1652.020	267.9	22.8	3
1658.030	270.1	18.5	3
1660.020	288.9	22.9	2
1662.020	315.7	10.4	3
1664.020	327.1	37.8	3
1664.060	306.9	  7.6	3
1666.020	280.9	  5.7	3
1668.020	269.5	  8.0	3
1670.020	311.6	14.3	3
1672.025	302.7	12.9	3
1676.240	267.0	  9.8	3
1678.020	279.5	24.1	3
1678.050	268.3	30.7	3
1680.020	290.6	24.7	3
1682.020	318.6	21.2	2
1682.050	282.1	16.5	3
1686.030	264.6	18.6	3
1688.020	260.3	12.5	3
1690.025	279.5	26.8	3
1692.025	240.1	  9.1	2
1696.025	257.1	  7.7	3
1698.025	270.8	  8.8	2
1700.020	240.4	10.5	3
1702.025	240.6	  4.1	3
1704.030	244.1	  8.8	3
1706.020	243.6	  5.1	3
1708.025	211.6	16.5	3
1710.025	260.2	  8.4	3
1712.020	271.4	17.0	3
1715.025	288.4	  2.9	3
1716.025	323.5	31.8	3
1716.055	253.4	16.8	3
1718.025	268.4	20.9	3
1720.020	298.2	  5.7	3
1722.025	308.0	  3.3	2
1722.045	258.5	34.2	3
1724.030	246.6	20.0	3
1726.025	267.6	20.5	3
1728.030	307.3	  8.1	3
1730.900	226.3	20.0	3
1730.930	256.0	12.3	3
1732.025	274.3	14.1	3
1734.020	290.5	  8.3	2
1736.020	249.4	  1.3	3
1738.025	271.0	24.7	2
1740.040	272.3	  8.8	3
1742.020	218.9	15.6	3
1744.025	233.7	  0.8	3
1746.020	301.2	12.0	3
1748.025	272.9	  6.9	3
1748.060	238.2	40.4	3
1750.020	250.1	  8.6	3
1752.025	225.3	31.1	3
1752.050	270.2	  6.3	3
1754.030	199.1	21.6	3
1754.055	244.1	  8.3	3
1758.025	265.0	  0.7	2
1758.060	265.0	10.3	3
1760.020	260.1	  4.9	3
1762.020	271.3	21.0	3
1762.045	285.2	  5.6	3
1764.900	246.4	  6.3	2
1764.930	277.3	13.9	3
1766.020	271.4	17.1	3
1766.045	268.9	14.4	3
1768.030	244.0	  6.8	3
1770.020	240.0	  7.3	2
1770.045	263.0	  3.7	2
1772.035	296.5	11.3	2
1774.010	273.9	20.8	3
1774.040	250.1	  3.5	3
1776.030	276.3	  1.4	3
1778.065	285.1	10.0	3
1780.020	265.2	10.4	3
1782.025	218.8	28.0	3
1784.030	186.8	  6.5	2
1786.020	261.2	  8.9	3
1788.050	267.2	16.3	3
1788.080	263.5	39.9	3
1790.030	265.0	15.6	3
1793.030	260.8	  2.4	3
1797.020	286.1	  1.2	2
1799.025	262.7	  5.4	3
1802.030	272.2	  4.9	2
1805.030	239.9	  2.8	3
1808.025	261.0	  5.7	3
1811.135	248.0	16.2	3
1814.055	209.4	  8.5	3
1817.195	214.9	  2.9	3
1820.010	213.6	14.3	3
1826.020	210.3	  2.6	3
1829.020	216.9	11.9	3
1832.025	231.7	  8.8	3
1835.120	212.8	17.8	3
1838.020	215.8	  4.1	3
1841.135	161.7	  1.8	2
1843.085	179.9	  5.7	3
1844.050	207.7	  4.0	3
1847.020	211.2	  5.6	3
1850.020	213.8	10.1	3
1859.020	206.8	30.5	2
1859.060	163.2	14.4	3
1864.020	263.8	16.4	3
1865.025	207.6	  6.0	3
1868.020	222.5	  5.9	2
1871.130	210.4	23.1	2
1874.020	243.1	43.6	2
1880.050	176.8	  8.1	3
1883.025	196.8	  8.3	2
1886.020	191.7	  5.5	3
1889.025	154.8	  5.8	3
1892.030	197.7	23.1	2
1898.025	161.3	31.3	3
2355.010	284.8	10.2	3
2355.515	264.9	18.6	3
2356.015	256.3	  6.0	3
2356.515	261.1	  4.0	3
2357.015	264.2	  1.3	2
2357.615	253.1	10.6	3
2358.585	246.2	  3.2	3
2359.015	223.3	  6.2	3
2359.515	204.6	  3.2	3
2360.015	187.1	  0.9	3
2360.515	205.3	  0.6	3
2361.165	199.2	  3.4	3
2361.615	213.4	  1.8	3
2362.015	189.3	  4.9	3
2362.515	212.6	  4.2	3
2363.015	258.8	  5.4	2
2363.515	212.0	  9.2	3
2364.015	210.6	  0.5	2
2364.515	192.7	  2.7	3
2365.015	197.4	  6.7	3
2366.015	191.6	  8.1	3
2366.515	181.8	  3.2	3
2367.215	148.1	  1.6	2
2367.235	217.0	29.3	3
2367.255	225.1	28.0	2
2368.020	189.2	  6.3	3
2370.015	195.8	  7.9	3
2371.125	156.6	  0.8	3
2372.015	179.7	  3.1	3
2373.015	185.9	  0.2	2
2373.515	204.1	  7.3	3
2374.015	260.6	11.7	3
2374.645	216.2	  1.2	2
2375.015	175.0	  2.7	2
2376.015	197.5	  0.1	2
2377.015	202.2	10.3	3
2378.015	201.4	  5.7	3
2378.515	211.4	  2.0	3
2379.015	275.9	  2.0	2
2379.515	232.4	  8.8	3
2380.015	203.7	  2.1	2
2381.165	219.6	  0.7	2
2382.015	196.8	  7.1	3
2382.515	200.3	  3.0	3
2383.015	255.1	14.3	3
2383.515	225.5	12.7	3
2384.015	277.7	12.6	3
2384.515	230.3	  9.0	3
2385.015	211.5	  2.0	3
2385.515	262.4	27.0	3
2386.015	244.4	17.8	3
2386.440	195.8	10.5	3
2387.015	186.7	  2.3	3
2387.515	181.4	  4.2	3
2388.515	188.4	  5.5	3
2580.013	289.5	13.8	3
2580.515	271.8	  4.2	3
2581.158	278.1	17.8	3
2581.515	275.7	  4.7	2
2582.013	279.1	16.0	3
2583.013	282.2	  1.8	3
2584.015	284.8	  0.9	3
2584.515	242.0	  3.3	3
2585.015	252.0	  3.7	3
2585.535	241.8	  6.3	3
2586.013	228.9	  9.2	2
2586.040	242.5	  7.1	3
2586.515	242.5	  3.8	3
2587.015	244.9	  4.0	2
2587.515	253.7	14.6	3
2588.515	245.1	  7.9	3
2589.015	244.4	  8.5	3
2589.515	237.8	17.2	3
2590.015	258.0	  5.4	3
2590.515	249.3	  5.5	3
