Year,Glob,NHem,SHem,24N-90N,24S-24N,90S-24S,64N-90N,44N-64N,24N-44N,EQU-24N,24S-EQU,44S-24S,64S-44S,90S-64S
1880,-.20,-.33,-.06,-.40,-.15,-.06,-1.06,-.60,-.19,-.23,-.07,-.03,-.08,.34
1881,-.11,-.19,-.03,-.29,-.01,-.06,-.75,-.44,-.11,-.03,.01,-.07,-.03,.32
1882,-.09,-.17,-.02,-.22,-.09,.03,-1.44,-.23,.01,-.09,-.09,.03,.08,.36
1883,-.20,-.30,-.09,-.34,-.21,-.03,-.38,-.60,-.17,-.22,-.20,-.01,.00,.32
1884,-.27,-.41,-.13,-.55,-.17,-.12,-1.35,-.59,-.37,-.19,-.15,-.15,-.05,.35
1885,-.30,-.40,-.22,-.58,-.17,-.21,-1.19,-.68,-.39,-.10,-.23,-.27,-.07,.33
1886,-.29,-.37,-.22,-.46,-.24,-.21,-1.24,-.42,-.34,-.23,-.25,-.18,-.21,.22
1887,-.32,-.35,-.29,-.44,-.27,-.27,-1.57,-.53,-.16,-.22,-.32,-.24,-.29,.15
1888,-.20,-.22,-.18,-.40,.07,-.34,-1.44,-.45,-.18,.08,.06,-.30,-.38,.11
1889,-.10,-.15,-.07,-.24,.05,-.17,-.88,-.14,-.17,.00,.09,-.16,-.17,.14
1890,-.36,-.39,-.34,-.43,-.38,-.27,-1.33,-.42,-.25,-.32,-.44,-.16,-.40,-.01
1891,-.24,-.23,-.24,-.35,-.15,-.24,-1.34,-.22,-.23,-.05,-.25,-.20,-.28,.03
1892,-.26,-.30,-.22,-.30,-.30,-.17,-1.35,-.32,-.09,-.30,-.30,-.04,-.34,-.01
1893,-.29,-.38,-.20,-.37,-.40,-.07,-.90,-.36,-.26,-.41,-.38,.04,-.22,-.04
1894,-.30,-.36,-.24,-.26,-.38,-.23,-1.34,-.17,-.05,-.51,-.25,-.15,-.31,-.17
1895,-.21,-.26,-.15,-.32,-.13,-.20,-.94,-.35,-.14,-.17,-.09,-.21,-.13,-.07
1896,-.14,-.20,-.08,-.32,.03,-.19,-1.28,-.33,-.07,.00,.06,-.16,-.21,-.02
1897,-.10,-.11,-.09,-.28,.17,-.29,-.82,-.28,-.14,.16,.17,-.21,-.37,-.01
1898,-.28,-.26,-.30,-.26,-.28,-.30,-1.28,.00,-.17,-.26,-.30,-.27,-.30,.02
1899,-.16,-.16,-.16,-.17,-.13,-.18,-1.11,.07,-.08,-.14,-.12,-.14,-.22,.08
1900,-.09,-.03,-.13,-.11,.14,-.35,-.64,-.02,-.03,.10,.17,-.31,-.38,.06
1901,-.13,-.06,-.21,-.09,-.05,-.30,-.50,.01,-.04,-.01,-.08,-.30,-.26,-.04
1902,-.26,-.27,-.24,-.43,-.06,-.34,-1.41,-.38,-.22,-.02,-.10,-.27,-.42,.00
1903,-.34,-.32,-.36,-.36,-.32,-.35,-.33,-.27,-.41,-.25,-.38,-.37,-.25,-.60
